"#"	"latitude"	"longitude"	"hdop"	"plan#"
0	52.139818	11.641882	1.100000	38
1	52.139818	11.641882	1.100000	38
2	52.139516	11.641914	1.100000	38
3	52.139516	11.641914	1.100000	38
4	52.139444	11.641950	1.100000	38
5	52.139444	11.641950	1.100000	38
6	52.139417	11.641980	1.100000	38
7	52.139417	11.641980	1.100000	38
8	52.139412	11.641999	1.100000	38
9	52.139412	11.641999	1.100000	38
10	52.139427	11.642017	1.100000	39
11	52.139427	11.642017	1.100000	39
12	52.139390	11.642049	1.100000	39
13	52.139390	11.642049	1.100000	39
14	52.139389	11.642072	1.600000	39
15	52.139389	11.642072	1.600000	39
16	52.139372	11.642091	1.600000	39
17	52.139372	11.642091	1.600000	39
18	52.139373	11.642127	1.600000	39
19	52.139373	11.642127	1.600000	39
20	52.139374	11.642156	1.600000	40
21	52.139374	11.642156	1.600000	40
22	52.139360	11.642171	1.600000	40
23	52.139360	11.642171	1.600000	40
24	52.139355	11.642186	1.600000	40
25	52.139355	11.642186	1.600000	40
26	52.139356	11.642196	1.600000	40
27	52.139356	11.642196	1.600000	40
28	52.139355	11.642208	1.600000	40
29	52.139355	11.642208	1.600000	40
30	52.139348	11.642239	1.600000	40
31	52.139348	11.642239	1.600000	40
32	52.139341	11.642287	1.600000	40
33	52.139341	11.642287	1.600000	40
34	52.139332	11.642305	1.600000	41
35	52.139332	11.642305	1.600000	41
36	52.139325	11.642329	1.600000	41
37	52.139325	11.642329	1.600000	41
38	52.139320	11.642353	1.600000	41
39	52.139320	11.642353	1.600000	41
40	52.139317	11.642378	1.600000	41
41	52.139317	11.642378	1.600000	41
42	52.139698	11.643830	1.100000	63
43	52.139698	11.643830	1.100000	63
44	52.139746	11.643882	1.100000	63
45	52.139746	11.643882	1.100000	63
46	52.139757	11.643893	1.100000	63
47	52.139757	11.643893	1.100000	63
48	52.139794	11.643928	1.100000	64
49	52.139794	11.643928	1.100000	64
50	52.139784	11.643964	1.100000	64
51	52.139784	11.643964	1.100000	64
52	52.139805	11.643978	1.100000	64
53	52.139805	11.643978	1.100000	64
54	52.139821	11.643993	1.100000	64
55	52.139821	11.643993	1.100000	64
56	52.139840	11.644029	1.100000	66
57	52.139840	11.644029	1.100000	66
58	52.139867	11.644025	1.100000	66
59	52.139867	11.644025	1.100000	66
60	52.139870	11.644032	1.100000	66
61	52.139870	11.644032	1.100000	66
62	52.139864	11.643988	1.100000	66
63	52.139864	11.643988	1.100000	66
64	52.139790	11.643981	1.100000	64
65	52.139790	11.643981	1.100000	64
66	52.139800	11.644051	1.100000	66
67	52.139800	11.644051	1.100000	66
68	52.139799	11.644051	1.100000	66
69	52.139799	11.644051	1.100000	66
70	52.139786	11.644084	1.100000	66
71	52.139786	11.644084	1.100000	66
72	52.139791	11.644101	1.100000	66
73	52.139791	11.644101	1.100000	66
74	52.139802	11.644113	1.100000	66
75	52.139802	11.644113	1.100000	66
76	52.139807	11.644133	1.100000	66
77	52.139807	11.644133	1.100000	66
78	52.139813	11.644154	1.100000	66
79	52.139813	11.644154	1.100000	66
80	52.139813	11.644179	1.100000	66
81	52.139813	11.644179	1.100000	66
82	52.139813	11.644202	1.100000	67
83	52.139813	11.644202	1.100000	67
84	52.139824	11.644248	1.100000	67
85	52.139824	11.644248	1.100000	67
86	52.139835	11.644293	1.100000	67
87	52.139835	11.644293	1.100000	67
88	52.139825	11.644304	1.100000	67
89	52.139825	11.644304	1.100000	67
90	52.139825	11.644334	1.600000	67
91	52.139825	11.644334	1.600000	67
92	52.139826	11.644356	1.600000	68
93	52.139826	11.644356	1.600000	68
94	52.139829	11.644398	1.600000	68
95	52.139829	11.644398	1.600000	68
96	52.139831	11.644416	1.600000	68
97	52.139831	11.644416	1.600000	68
98	52.139824	11.644403	1.600000	68
99	52.139824	11.644403	1.600000	68
100	52.139821	11.644412	1.600000	68
101	52.139821	11.644412	1.600000	68
102	52.139824	11.644425	1.600000	68
103	52.139824	11.644425	1.600000	68
104	52.139827	11.644435	1.600000	68
105	52.139827	11.644435	1.600000	68
106	52.139836	11.644466	1.600000	68
107	52.139836	11.644466	1.600000	68
108	52.139840	11.644507	1.600000	69
109	52.139840	11.644507	1.600000	69
110	52.139840	11.644531	1.600000	69
111	52.139840	11.644531	1.600000	69
112	52.139841	11.644557	1.600000	69
113	52.139841	11.644557	1.600000	69
114	52.139849	11.644586	1.600000	69
115	52.139849	11.644586	1.600000	69
116	52.139843	11.644629	1.600000	69
117	52.139843	11.644629	1.600000	69
118	52.139858	11.644645	1.600000	71
119	52.139858	11.644645	1.600000	71
120	52.139865	11.644668	1.600000	71
121	52.139865	11.644668	1.600000	71
122	52.139855	11.644683	1.600000	71
123	52.139855	11.644683	1.600000	71
124	52.139843	11.644686	1.600000	70
125	52.139843	11.644686	1.600000	70
126	52.139821	11.644682	1.600000	70
127	52.139821	11.644682	1.600000	70
128	52.139814	11.644672	1.600000	70
129	52.139814	11.644672	1.600000	70
